Year;Day;Month;Site;Season;Habitat;DegLev;Bird ID;Sex;Plant Family;Plant ID;Activity;Folder;Picture;Time
2016;6;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;10141;8:49:09
2016;6;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;12159;9:22:47
2016;6;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;17117;10:45:25
2016;6;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AA;18151;11:02:39
2016;6;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;1569;13:26:17
2016;7;5;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Bromeliaceae;Guzmania_sp;Feeding;160506AB;3075;6:51:23
2016;7;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;9952;8:46:00
2016;7;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160506AB;12918;9:35:26
2016;8;5;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Bromeliaceae;Guzmania_sp;Feeding;160508AA;550;6:09:18
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;4746;7:19:14
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;6107;7:41:55
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;10128;8:48:56
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;11195;9:06:43
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;14097;9:55:05
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AA;20710;11:45:31
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;1346;13:22:34
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;4003;14:06:51
2016;8;5;Esperanza;Wet;Forest_Border;1;Adelomyia melanogenys;na;Bromeliaceae;Guzmania_sp;Feeding;160508AB;14898;17:08:26
2015;26;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151026AC;6281;14:44:49
2015;26;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151026AC;12509;16:28:37
2015;27;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151027AB;14629;17:03:57
2015;28;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151028AA;3229;6:53:57
2015;28;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151028AA;8773;8:26:21
2015;28;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151028AC;4768;14:19:36
