Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2015;27;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151026AB;12745;14:32:33
2015;28;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151028AA;4116;7:08:44
2015;28;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151028AB;15938;17:25:46
2015;29;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151029AA;3237;6:54:05
2015;29;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151029AB;852;13:14:20
2015;29;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151029AB;13715;16:48:43
2015;30;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;male;Berberidaceae;Berberis pichinchensis;Feeding;151030AA;2210;6:36:58
2015;26;10;Yanacocha;Wet;Forest_border;2;Diglossa humeralis;na;Onagraceae;Fucsia_sp;Feeding;151026AC;2278;13:45:36
2015;29;10;Yanacocha;Wet;Forest_border;2;Metallura tyrianthina;na;Onagraceae;Fucsia_sp;Feeding;151029AA;8750;8:25:58
2015;29;10;Yanacocha;Wet;Forest_border;2;Coeligena lutetiae;male;Onagraceae;Fucsia_sp;Feeding;151029AA;19832;11:30:53
2015;26;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151026AA;3061;6:51:09
2015;28;10;Yanacocha;Wet;Forest_Border;2;Diglossa sp.;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151028AB;16483;17:34:51
2015;29;10;Yanacocha;Wet;Forest_Border;2;Diglossa sp.;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151029AA;9400;8:36:48
2015;29;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151029AA;13684;9:48:12
2015;29;10;Yanacocha;Wet;Forest_Border;2;Diglossa sp.;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151029AB;16196;17:30:31
2015;30;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151030AA;3107;6:51:55
2015;30;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Melastomataceae;Brachyoutum ledifolium;Feeding;151030AA;18234;11:04:43
2015;22;9;Verdecocha;Wet;Forest_interior;0;Metallura tyrianthina;na;Alstroemeraceae;Bomarea lutea;Feeding;150922AC;78;13:01:26
2015;22;9;Verdecocha;Wet;Forest_interior;0;Coeligena lutetiae;na;Alstroemeraceae;Bomarea lutea;Feeding;150922AC;1371;13:22:59
2015;22;9;Verdecocha;Wet;Forest_interior;0;Coeligena lutetiae;na;Alstroemeraceae;Bomarea lutea;Feeding;150922AC;Untitled;14:24:30
2015;22;9;Verdecocha;Wet;Forest_interior;0;Trochilidae;na;Alstroemeraceae;Bomarea lutea;Feeding;150922AC;8234;15:17:22
2015;22;9;Verdecocha;Wet;Forest_interior;0;Coeligena lutetiae;na;Alstroemeraceae;Bomarea lutea;Feeding ;150922AC;13805;16:50:13
2015;25;9;Verdecocha;Wet;Forest_interior;0;Trochilidae;na;Alstroemeraceae;Bomarea lutea;Feeding ;150925AC;12603;16:30:11
2015;22;9;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceaee;Heppiella _sp;Feeding;150922AB;1171;13:19:39
2015;23;9;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceaee;Heppiella _sp;Feeding;150923AB;17037;17:44:05
